iter	Passed	Remaining
848	1133	201
849	1134	200
850	1136	198
851	1137	197
852	1138	196
853	1138	194
854	1139	193
855	1140	191
856	1141	190
857	1142	189
858	1143	187
859	1144	186
860	1153	186
861	1184	189
862	1185	188
863	1187	186
864	1188	185
865	1190	184
866	1192	182
867	1193	181
868	1194	180
869	1195	178
870	1196	177
871	1198	175
872	1200	174
873	1201	173
874	1202	171
875	1203	170
876	1204	168
877	1205	167
878	1207	166
879	1208	164
880	1210	163
881	1211	162
882	1213	160
883	1214	159
884	1216	158
885	1217	156
886	1218	155
887	1219	153
888	1220	152
889	1221	150
890	1222	149
891	1223	148
892	1224	146
893	1225	145
894	1226	143
895	1228	142
896	1230	141
897	1230	139
898	1231	138
899	1232	136
900	1233	135
901	1234	134
902	1235	132
903	1236	131
904	1237	129
905	1238	128
906	1239	127
907	1240	125
908	1241	124
909	1243	122
910	1244	121
911	1245	120
912	1246	118
913	1247	117
914	1248	116
915	1249	114
916	1250	113
917	1251	111
918	1252	110
919	1253	109
920	1254	107
921	1255	106
922	1257	104
923	1259	103
924	1259	102
925	1260	100
926	1261	99
927	1262	97
928	1263	96
929	1264	95
930	1265	93
931	1266	92
932	1267	91
933	1268	89
934	1269	88
935	1270	86
936	1272	85
937	1273	84
938	1275	82
939	1276	81
940	1277	80
941	1278	78
942	1279	77
943	1280	75
944	1280	74
945	1281	73
946	1282	71
947	1283	70
948	1284	69
949	1285	67
950	1287	66
951	1288	64
952	1289	63
953	1290	62
954	1291	60
955	1292	59
956	1293	58
957	1295	56
958	1296	55
959	1297	54
960	1298	52
961	1299	51
962	1300	49
963	1302	48
964	1303	47
965	1304	45
966	1305	44
967	1306	43
968	1307	41
969	1308	40
970	1309	39
971	1310	37
972	1311	36
973	1312	35
974	1313	33
975	1314	32
976	1315	30
977	1318	29
978	1319	28
979	1319	26
980	1320	25
981	1321	24
982	1322	22
983	1323	21
984	1324	20
985	1325	18
986	1326	17
987	1327	16
988	1328	14
989	1329	13
990	1330	12
991	1331	10
992	1333	9
993	1334	8
994	1335	6
995	1336	5
996	1337	4
997	1338	2
998	1339	1
999	1340	0
